Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost / Manufacturer Price,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],,IMAGE LINK
efficascent50,10000,EFFICASCENT50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0,4.80001E+12,,,Y,Y,53,10,5,,https://lzd-img-global.slatic.net/g/p/f59e47d0f5ba1f5a5fe8e474b9c7080a.jpg_720x720q80.jpg
efficascentx50,10007,EFFICASCENTX50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0,4.80001E+12,,,Y,Y,90,10,5,,https://img.lazcdn.com/g/p/5753125b5155d7ded46af38009679849.jpg_720x720q80.jpg
energen-choco,10172,ENERGEN CHOCO,FOOD,,N,,,,,,,8.45,8.996E+12,,,Y,Y,12,20,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasi-m3q34c9aa5y7db
energen-vnla,10171,ENERGEN VNLA,FOOD,,N,,,,,,,8.45,8.996E+12,,,Y,Y,12,21,5,,https://down-ph.img.susercontent.com/file/id-11134207-7r991-lqh4nzjvlmsy5b
escobar-light-1l,10296,ESCOBAR LIGHT 1L,DRINKS,,N,,,,,,,168.3,8.41003E+12,,,Y,Y,205,2,,,https://down-ph.img.susercontent.com/file/c7ada8b82d55e453e349cd813b7d1a64
eveready-battery-aa,10303,EVEREADY BATTERY AA,HOME ESSENTIALS,,N,,,,,,,19.5,3.48E+13,,,Y,Y,25,12,,,https://down-ph.img.susercontent.com/file/ph-11134207-7qul7-lk27s0ws42vj3a
eveready-battery-aaa,10302,EVEREADY BATTERY AAA,HOME ESSENTIALS,,N,,,,,,,23.5,8.88802E+12,,,Y,Y,25,10,,,https://laz-img-sg.alicdn.com/p/5439e7f6f05683096cd8d84b98db7b8f.png
fruit-salad-1,10236,FRUIT SALAD,SNACKS,,N,,,,,,,5.75,4.80653E+12,,,Y,Y,8,22,,,https://down-ph.img.susercontent.com/file/sg-11134201-7rcec-m6khcy0m1ibfe2
fuego-match,10044,FUEGO MATCH - PIECE,HOME ESSENTIALS,,N,,,,,,,0,4.80011E+12,,,N,Y,3,,,,https://d2j6dbq0eux0bg.cloudfront.net/images/17197054/1944432043.jpg
fundador-light,10121,FUNDADOR LIGHT,DRINKS,,N,,,,,,,0,8.41016E+12,,,Y,Y,420,3,,,https://down-ph.img.susercontent.com/file/ph-11134201-7r992-lr2ykqcbawybe4
gatorade-(blue-bolt)-500ml,10238,GATORADE (BLUE BOLT) 500ML,DRINKS,,N,,,,,,,42,4.80393E+12,,,Y,Y,45,11,5,,https://down-ph.img.susercontent.com/file/sg-11134201-7rd65-m71uq53lv1cr7f
gatorade-blue-bolt-350ml,10190,GATORADE BLUE BOLT 350ML,DRINKS,,N,,,,,,,0,4.80393E+12,,,N,Y,38,,,,https://down-ph.img.susercontent.com/file/sg-11134202-821fo-mgqnbsde66fj43
gatorade-tropical-fruit-500ml,10191,GATORADE TROPICAL FRUIT 500ML,DRINKS,,N,,,,,,,0,,,,N,Y,44.75,,,,https://down-ph.img.susercontent.com/file/sg-11134201-7rd3q-m71t7fx3iprm8f
generic-dw-liq---cal,10091,GENERIC DW LIQ - GRE S,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,20,103,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98t-lux56s2qifyjc4
generic-dw-liq---pnk-m,10133,GENERIC DW LIQ - PNK M,,,N,,,,,,,0,,,,Y,Y,30,38,,,https://mage.entrelabel.com/media/magefan_blog/445387342_983720110428282_987447433944668336_n.jpg
