Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
energen-choco,10172,ENERGEN CHOCO,FOOD,,N,,,,,,,8.45,8996001440049,,,Y,Y,12,20,,https://bf1af2.akinoncloudcdn.com/products/2024/09/11/94874/b848d656-1de7-4e65-b112-197b1e143a7e_size3840_cropCenter.jpg
energen-vnla,10171,ENERGEN VNLA,FOOD,,N,,,,,,,8.65,8996001440124,,,Y,Y,11.98,28,5,https://tastysnack.id/cdn/shop/files/2_8bb95275-f41b-427d-92a9-24c14d85c62e_1000x1000.png?v=1707990128
escobar-light-1l,10296,ESCOBAR LIGHT 1L,DRINKS,,N,,,,,,,168.3,8410028903252,,,Y,Y,205,1,,https://i0.wp.com/drinkzyph.com/wp-content/uploads/2021/10/1634080480030.png?fit=1915%2C1924&ssl=1
eveready-battery-aa,10303,EVEREADY BATTERY AA,HOME ESSENTIALS,,N,,,,,,,19.5,34800042112177,,,Y,Y,25,11,,https://eveready.com/apac/malaysia/wp-content/uploads/sites/10/2025/09/EVR-HD-AA.png
eveready-battery-aaa,10302,EVEREADY BATTERY AAA,HOME ESSENTIALS,,N,,,,,,,23.5,8888021800098,,,Y,Y,25,10,,https://primomart.ph/cdn/shop/files/8888021100112_bbebc82f-39f6-4b5e-bd77-4c0951f151aa_1200x1200.jpg?v=1754889839
fita-spreadz,10327,FITA SPREADZ,FOOD,,N,,,,,,,6.95,,,,Y,Y,9.98,10,,https://pinoywarehouse.com.au/wp-content/uploads/2025/02/noodlesLucky-Me-Beef-na-Beef.png
fruit-salad-1,10236,FRUIT SALAD,SNACKS,,N,,,,,,,5.75,4806529170264,,,Y,Y,8,16,,https://img.freepik.com/premium-psd/delicious-fruit-salad-isolated-white-background_826823-248.jpg?w=2000
fuego-match,10044,FUEGO MATCH - PIECE,HOME ESSENTIALS,,N,,,,,,,0,4800112256151,,,N,Y,3,,,https://enjoytheperk.com/cdn/shop/products/67.png?v=1673884009
fundador-light,10121,FUNDADOR LIGHT,DRINKS,,N,,,,,,,0,8410162100296,,,Y,Y,420,3,,https://solidwineonline.com/cdn/shop/files/FundadorLight1000.png?v=1706426591&width=1346
gatorade-(blue-bolt)-500ml,10238,GATORADE (BLUE BOLT) 500ML,DRINKS,,N,,,,,,,42,4803925061141,,,Y,Y,48,10,5,https://ph-test-11.slatic.net/p/9f2db9eedc96e6d439e191d8ec0da978.png
