Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
axion,10021,AXION,Cleaning/Laundry Supplies,<p>KALAMANSI / GREEN</p>,N,,,,,,,0,9556031097058,,,Y,Y,12.98,34,,
bareta-bar-blue,10093,BARETA BAR BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491417,,,Y,Y,24.98,14,,
bareta-bar-kalamansi,10092,BARETA BAR KALAMANSI,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491431,,,Y,Y,24.98,7,,
bareta-bar-speckled-blue,10095,BARETA BAR SPECKLED BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491448,,,Y,Y,24.98,14,,
bareta-bar-w/-fabcon,10101,BARETA BAR W/ FABCON,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491509,,,Y,Y,25.98,11,,
bbrand-swak,10169,BEAR BRAND SWAK,FOOD,,N,,,,,,,9,4800361410816,,,Y,Y,14.98,15,,
bbrand-swak-choco,10170,BEAR BRAND SWAK CHOCO,FOOD,,N,,,,,,,9,4800361409117,,,Y,Y,14.98,16,,
bestguard-epoxy-steel,10313,BESTGUARD EPOXY STEEL,HOME ESSENTIALS,,N,,,,,,,0,6955107678161,,,Y,Y,44.98,14,,
blkchili-bbq-7g,10180,BLACK CHILI BBQ 7G,SNACKS,,N,,,,,,,0,4800365221036,,,Y,Y,2,18,,
black-chili-cchips-bbq,10187,BLACK CHILI CORN CHIPS BBQ,SNACKS,,N,,,,,,,8.25,4800365221067,,,Y,Y,11.98,5,,
c2-230ml,10129,C2 230ML,DRINKS,,N,,,,,,,0,4800016068010,,,Y,Y,17,9,,
ntrisnk-cheezit,10138,CHEEZ IT,SNACKS,,N,,,,,,,8.25,4800523220079,,,Y,Y,10.98,6,,
cb-clfrna-crnch,10198,CHICK BOY ONION & GARLIC 30G,SNACKS,,N,,,,,,,9.22,4806505854522,,,Y,Y,11.98,47,,
cb-txs-bbq,10197,CHICK BOY TEXAS BBQ 30G,,,N,,,,,,,10,4806505854539,,,Y,Y,11.98,47,,
chippy-bbq-108g,10217,CHIPPY BBQ 108G,SNACKS,,N,,,,,,,24.63,4800016643095,,,Y,Y,29.98,2,,
chippy-bbq-25g,10143,CHIPPY BBQ 25G,SNACKS,,N,,,,,,,7.5,4800016642029,,,Y,Y,9.98,19,,
chippy-chilicheese,10144,CHIPPY CHILI CHEESE 25G,SNACKS,,N,,,,,,,0,4800016641008,,,Y,Y,9.98,12,,
chiz-curls-18g,10266,CHIZ CURLS 18G,SNACKS,,N,,,,,,,7.25,4800016105746,,,Y,Y,9.98,6,,
chuckie-110ml,10268,CHUCKIE 110ML,DRINKS,,N,,,,,,,13.2,,,,Y,Y,16,8,,
cloud-9-clssc,10231,CLOUD 9 CLSSC,SNACKS,,N,,,,,,,6.35,4800010961447,,,Y,Y,10,120,,
clover-cheesier,10317,CLOVER CHEESIER 24G,SNACKS,,N,,,,,,,7.5,4800216120013,,,Y,Y,9.98,11,,
clvb-1ltr,10273,CLVB 1LTR,DRINKS,,N,,,,,,,189,4800142119648,,,Y,Y,199,3,,
cobra-energy-drink-330ml,10241,COBRA ENERGY DRINK 330ML,DRINKS,,N,,,,,,,20,4800611546760,,,Y,Y,25,5,5,
coca-cola-1.5ml,10278,COCA COLA 1.5ML,,,N,,,,,,,65.75,4801981116072,,,Y,Y,74.98,4,,
cocacola-1.75l,10115,COCA COLA 1.75L,DRINKS,,N,,,,,,,61.67,4801981116072,,,Y,Y,84.98,8,,
cocacola-orig-190,10109,COCA COLA 190ML,DRINKS,,N,,,,,,,11,4801981127177,,,Y,Y,15,21,,
cocacola-1l,10116,COCA COLA 1L,DRINKS,,N,,,,,,,0,,,,Y,Y,50,0,,
cocacola-237ml,10123,COCA COLA 237ML,DRINKS,,N,,,,,,,0,,,,Y,Y,18,24,,
cocacola-orig-290,10107,COCA COLA 290ML,DRINKS,,N,,,,,,,16.5,4801981118502,,,Y,Y,20,8,5,
colgate,980000035,COLGATE,HOME ESSENTIALS,,N,,,,,,,8.75,8850006325216,,,Y,Y,11.98,24,,
colgate-mouthwash-plax-60ml,980000038,COLGATE MOUTHWASH PLAX 60ML,BATH ESSENTIALS,,N,,,,,,,29.75,8850006304563,,,Y,Y,38.98,12,,
colgate-x2-tubes-maximum-cavity-protection-132g,980000036,COLGATE X2 TUBES MAXIMUM CAVITY PROTECTION 132G,BATH ESSENTIALS,,N,,,,,,,153,8850006327432,,,Y,Y,184.98,3,,
colgate-x2-tubes-triple-action-120g,980000037,COLGATE X2 TUBES TRIPLE ACTION 120G,BATH ESSENTIALS,,N,,,,,,,153,8850006327470,,,Y,Y,184.98,3,,
corn-bits-halo-halo-1,10395Q,CORN BITS HALO HALO,SNACKS,,N,,,,,,,1.09,,,,Y,Y,2,30,,
cream-silk-conditioner-ss/pink,10270,CREAM SILK CONDITIONER SS/PINK,BATH ESSENTIALS,,N,,,,,,,6.25,4800888139306,,,Y,Y,9.98,21,,
creamline--cup-choco-mallow-210ml,10363,CREAMLINE  CUP CHOCO MALLOW 210ML,ICE CREAM 🍦,,N,,,,,,,23.44,4806514103406,,,Y,Y,29.98,11,,
creamline-1.3-buko-salad,10358,CREAMLINE 1.3 BUKO SALAD,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104403,,,Y,Y,229.98,1,,
creamline-bar-buko-salad,10345,CREAMLINE BAR BUKO SALAD,ICE CREAM 🍦,,N,,,,,,,11.6,4806514102003,,,Y,Y,16.98,10,,
creamline-bar-cookies-&-creaam,10346,CREAMLINE BAR COOKIES & CREAM,ICE CREAM 🍦,,N,,,,,,,11.6,4806514102010,,,Y,Y,16.98,9,,
creamline-bar-rocky-road,10348,CREAMLINE BAR ROCKY ROAD,ICE CREAM 🍦,,N,,,,,,,11.6,4806514102065,,,Y,Y,16.98,10,,
creamline-bar-ube-queso-pastillas,10347,CREAMLINE BAR UBE QUESO PASTILLAS,ICE CREAM 🍦,,N,,,,,,,11.6,4806514102041,,,Y,Y,16.98,8,,
creamline-cone-berry-choco,10337,CREAMLINE CONE BERRY CHOCO 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101051,,,Y,Y,23.98,4,,
creamline-cone-choco-queso-110ml,10338,CREAMLINE CONE CHOCO QUESO 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101068,,,Y,Y,23.98,5,,
creamline-cone-cookies-&-cream,10336,CREAMLINE CONE COOKIES & CREAM 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101037,,,Y,Y,23.98,5,,
creamline-cone-rocky-road-110ml,10334,CREAMLINE CONE ROCKY ROAD 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101006,,,Y,Y,23.98,4,,
creamline-cone-ube-macapuno-110ml,10335,CREAMLINE CONE UBE MACAPUNO 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101013,,,Y,Y,23.98,5,,
creamline-coolers-chocolate-50ml-1,10381,CREAMLINE COOLERS CHOCOLATE 50ML,ICE CREAM 🍦,,N,,,,,,,9.9,4806514102607,,,Y,Y,13.98,10,,
creamline-coolers-mango-50ml,10354,CREAMLINE COOLERS MANGO 50ML,ICE CREAM 🍦,,N,,,,,,,9.9,,,,Y,Y,13.98,7,,
creamline-coolers-melon-50ml,10371,CREAMLINE COOLERS MELON 50ML,ICE CREAM 🍦,,N,,,,,,,9.9,4806514102720,,,Y,Y,13.98,10,,
creamline-coolers-strawberry-50ml,10352,CREAMLINE COOLERS STRAWBERRY 50ML,ICE CREAM 🍦,,N,,,,,,,9.9,4806514102737,,,Y,Y,13.98,10,,
creamline-cup-choco-mud-pie-120ml,10364,CREAMLINE CUP CHOCO MUD PIE 210ML,ICE CREAM 🍦,,N,,,,,,,23.44,4806514103413,,,Y,Y,29.98,10,,
creamline-family-dou-cookies&cream/choco,10357,CREAMLINE FAMILY DOU COOKIES&CREAM/CHOCO950ML,ICE CREAM 🍦,,N,,,,,,,112.75,4806514104205,,,Y,Y,164.98,9,,
creamline-family-dou-rocky-road/vanilla,10355,CREAMLINE FAMILY DOU ROCKY ROAD/VANILLA 950ML,ICE CREAM 🍦,,N,,,,,,,112.75,4806514104212,,,Y,Y,164.98,1,,
creamline-family-duo-cookies&cream/choco,10356,CREAMLINE FAMILY DUO COOKIES&CREAM/CHOCO,ICE CREAM 🍦,,N,,,,,,,112.75,,,,Y,Y,164.98,10,,
creamline-frotees-grapes-50ml,10350,CREAMLINE FROOTEES GRAPES 50ML,ICE CREAM 🍦,,N,,,,,,,8.3,4806514102607,,,Y,Y,12.98,8,,
creamline-frotees-orange-50ml,10349,CREAMLINE FROOTEES ORANGE 50ML,ICE CREAM 🍦,,N,,,,,,,8.3,4806514102614,,,Y,Y,12.98,8,,
creamline-jumbo-cone-cookies-&-cream-140ml,10340,CREAMLINE JUMBO CONE COOKIES & CREAM 140ML,ICE CREAM 🍦,,N,,,,,,,24.1,4806514101327,,,Y,Y,29.98,4,,
creamline-jumbo-cone-double-dutch-140ml,10339,CREAMLINE JUMBO CONE DOUBLE DUTCH 140ML,ICE CREAM 🍦,,N,,,,,,,24.1,4806514101303,,,Y,Y,29.98,3,,
creamline-jumbo-cone-mango-peanut-140ml,10343,CREAMLINE JUMBO CONE MANGO PEANUT 140ML,ICE CREAM 🍦,,N,,,,,,,24.1,4806514101358,,,Y,Y,29.98,4,,
creamline-jumbo-cone-rocky-road-140ml,10341,CREAMLINE JUMBO CONE ROCKY ROAD 140ML,ICE CREAM 🍦,,N,,,,,,,24.1,4806514101334,,,Y,Y,29.98,4,,
creamline-jumbo-cone-ube-queso-140ml,10342,CREAMLINE JUMBO CONE UBE QUESO 140ML,ICE CREAM 🍦,,N,,,,,,,24.1,4806514101341,,,Y,Y,29.98,3,,
creamline-melon-50ml,10353,CREAMLINE MELON 50ML,ICE CREAM 🍦,,N,,,,,,,9.9,,,,Y,Y,16.98,10,,
creamline-milky-pop-lolly-milk-choco-60ml,10362,CREAMLINE MILKY POP LOLLY MILK CHOCO 60ML,ICE CREAM 🍦,,N,,,,,,,9.88,4806514102966,,,Y,Y,14.98,20,,
creamline-mini-cup-choco-marble-75ml,10369,CREAMLINE MINI CUP CHOCO MARBLE 75ML,ICE CREAM 🍦,,N,,,,,,,12.7,4806514103000,,,Y,Y,19.98,9,,
creamline-mini-cup-75ml,10368,CREAMLINE MINI CUP CHOCOLATE 75ML,ICE CREAM 🍦,,N,,,,,,,12.7,4806514103031,,,Y,Y,19.98,9,,
creamline-mini-cup-ube-75ml,10370,CREAMLINE MINI CUP UBE 75ML,ICE CREAM 🍦,,N,,,,,,,12.7,4806514103017,,,Y,Y,19.98,8,,
creamline-pinipig-chocolate-70ml,10344,CREAMLINE PINIPIG CHOCOLATE 70ML,ICE CREAM 🍦,,N,,,,,,,16.15,4806514102300,,,Y,Y,19.98,64,,
creamline-pinoy-classic-buko-pandan-mango-60ml,10361,CREAMLINE PINOY CLASSIC BUKO PANDAN MANGO 60ML,ICE CREAM 🍦,,N,,,,,,,19.08,,,,Y,Y,19.98,10,,
creamline-pinoy-classic-monggo-60ml,10359,CREAMLINE PINOY CLASSIC MANGGO 60ML,ICE CREAM 🍦,,N,,,,,,,13.3,,,,Y,Y,19.98,8,,
creamline-pinoy-classic-ube-monggo-60-ml,10360,CREAMLINE PINOY CLASSIC UBE MANGGO 60 ML,ICE CREAM 🍦,,N,,,,,,,13.3,,,,Y,Y,19.98,10,,
creamline-sundae-caramel-120ml,10366,CREAMLINE SUNDAE CARAMEL 120ML,ICE CREAM 🍦,,N,,,,,,,15.85,4806514103215,,,Y,Y,24.98,6,,
creamline-sundae-chocolate120ml,10365,CREAMLINE SUNDAE CHOCOLATE120ML,ICE CREAM 🍦,,N,,,,,,,15.85,4806514103208,,,Y,Y,24.98,10,,
creamline-sundaecaramel120ml,10367,CREAMLINE SUNDAE STRAWBERRY 120ML,ICE CREAM 🍦,,N,,,,,,,15.85,4806514103222,,,Y,Y,24.98,9,,
crispy-patata,10146,CRISPY PATATA,SNACKS,,N,,,,,,,7.75,4800194104869,,,Y,Y,9.98,7,,
cutter,10304,CUTTER,HOME ESSENTIALS,,N,,,,,,,15.5,6977591910862,,,Y,Y,20,12,,
daily-scent-lazy-afternoon,10255,Daily scent lazy afternoon,Perfume cologne,,N,,,,,,,0,4800417059617,,,Y,Y,25,5,2,
dingdong-hotnspocy,10183,DINGDONG HOTNSPICY 5G,SNACKS,,N,,,,,,,0,4800092331152,,,Y,Y,2,60,,
dingdong-30g,10155,DINGDONG MIXED NUT 30G,SNACKS,,N,,,,,,,6.75,4800092332791,,,Y,Y,9.98,10,,
dingdong-mxd-nuts,10153,DINGDONG MIXED NUTS 100G,SNACKS,,N,,,,,,,24,4800092330131,,,Y,Y,29.98,6,,
dingdong-mixnuts-5g,10185,DINGDONG MIXNUTS 5G,SNACKS,,N,,,,,,,0,4800092330100,,,Y,Y,2,29,,
dingdong-snack-mix-100g-1,10393Q,DINGDONG SNACK MIX 100G,SNACKS,,N,,,,,,,24,4800092331732,,,Y,Y,29.98,6,,
dingdong-snack-mix-30g,10391,DINGDONG SNACK MIX 30G,SNACKS,,N,,,,,,,6.75,4800092333033,,,Y,Y,9.98,12,,
dingdong-mixed-nuts-100g,10392,DINGDONG SNACK MIX SWEET&SPICY 100G,SNACKS,,N,,,,,,,26,4800092331732,,,Y,Y,29.98,5,,
don-frank-choco,10051,DON FRANK CHOCO,FOOD,,N,,,,,,,0,710535411683,,,N,Y,19.5,,,
don-frank-coffee-jelly,10047,DON FRANK COFFEE JELLY,FOOD,,N,,,,,,,0,710535411669,,,N,Y,19.5,,,
don-frank-grass-jelly,10052,DON FRANK GRASS JELLY,FOOD,,N,,,,,,,0,4809012601184,,,N,Y,19.5,,,
don-frank-orange,10048,DON FRANK ORANGE,FOOD,,N,,,,,,,0,4809012601177,,,N,Y,19.5,,,
don-frank-pandan,10050,DON FRANK PANDAN,FOOD,,N,,,,,,,0,4809012601122,,,N,Y,19.5,,,
don-frank-red,10053,DON FRANK RED,FOOD,,N,,,,,,,0,4809012601023,,,N,Y,19.5,,,
don-frank-strwbrry,10049,DON FRANK STRWBRRY,FOOD,,N,,,,,,,0,4809012601139,,,N,Y,19.5,,,
don-frank-white,10055,DON FRANK WHITE,FOOD,,N,,,,,,,0,4809012601146,,,N,Y,19.5,,,
don-frank-yellow,10054,DON FRANK YELLOW,FOOD,,N,,,,,,,0,4809012601016,,,N,Y,19.5,,,
downy-antibac,10024,DOWNY ANTIBAC,Cleaning/Laundry Supplies,<p>GREEN / KONTRA KULOB</p>,N,,,,,,,0,4902430873703,,,Y,Y,9,9,,
downy-garden-bloom-26ml,980000025,DOWNY GARDEN BLOOM 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430453295,,,Y,Y,7.98,60,,
downy-garden-bloom-75ml,980000030,DOWNY GARDEN BLOOM 75ML,Cleaning/Laundry Supplies,,N,,,,,,,16.35,4902430513074,,,Y,Y,21.98,12,,
downy-kontra--germs-26ml,980000027,DOWNY KONTRA  GERMS 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430344876,,,Y,Y,7.98,55,,
downy-mystique-26ml,980000028,DOWNY MYSTIQUE 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430729925,,,Y,Y,7.98,36,,
downy-passion-26ml,980000029,DOWNY PASSION 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430729901,,,Y,Y,7.98,36,,
downy-sunrise-fresh-26ml,980000026,DOWNY SUNRISE FRESH 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430401845,,,Y,Y,7.98,60,,
downy-sunrise-fresh-75ml,980000031,DOWNY SUNRISE FRESH 75ML,Cleaning/Laundry Supplies,,N,,,,,,,16.35,4902430513081,,,Y,Y,21.98,12,,
eagle-brown-sugar-250g,10319,EAGLE BROWN SUGAR 250G,FOOD,,N,,,,,,,20,4809011529168,,,Y,Y,24,5,,
eagle-glue-40gm,10314,EAGLE GLUE 40gm,HOME ESSENTIALS,,N,,,,,,,22.5,6928977601256,,,Y,Y,30,12,,
eagle-refine-sugar-250g,10318,EAGLE REFINE SUGAR 250G,FOOD,,N,,,,,,,23,4809011529151,,,Y,Y,28.98,6,,
efficascent25,10005,EFFICASCENT25,ESSENTIAL OILS,<p>25ML</p>,N,,,,,,,0,48035156,,,Y,Y,28.5,8,5,
efficascent50,10000,EFFICASCENT50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0,4800011133430,,,Y,Y,53,10,5,
efficascentx50,10007,EFFICASCENTX50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0,4800011132938,,,Y,Y,90,10,5,
energen-choco,10172,ENERGEN CHOCO,FOOD,,N,,,,,,,8.45,8996001440049,,,Y,Y,12,20,,
energen-vnla,10171,ENERGEN VNLA,FOOD,,N,,,,,,,8.65,8996001440124,,,Y,Y,11.98,28,5,
escobar-light-1l,10296,ESCOBAR LIGHT 1L,DRINKS,,N,,,,,,,168.3,8410028903252,,,Y,Y,205,1,,
eveready-battery-aa,10303,EVEREADY BATTERY AA,HOME ESSENTIALS,,N,,,,,,,19.5,34800042112177,,,Y,Y,25,11,,
eveready-battery-aaa,10302,EVEREADY BATTERY AAA,HOME ESSENTIALS,,N,,,,,,,23.5,8888021800098,,,Y,Y,25,10,,
fita-spreadz,10327,FITA SPREADZ,FOOD,,N,,,,,,,6.95,,,,Y,Y,9.98,10,,
fruit-salad-1,10236,FRUIT SALAD,SNACKS,,N,,,,,,,5.75,4806529170264,,,Y,Y,8,14,,
fuego-match,10044,FUEGO MATCH - PIECE,HOME ESSENTIALS,,N,,,,,,,0,4800112256151,,,N,Y,3,,,
fundador-light,10121,FUNDADOR LIGHT,DRINKS,,N,,,,,,,0,8410162100296,,,Y,Y,420,3,,
gatorade-(blue-bolt)-500ml,10238,GATORADE (BLUE BOLT) 500ML,DRINKS,,N,,,,,,,42,4803925061141,,,Y,Y,48,10,5,
gatorade-blue-bolt-350ml,10190,GATORADE BLUE BOLT 350ML,DRINKS,,N,,,,,,,25.83,4803925350054,,,Y,Y,35,23,,
gatorade-tropical-fruit-500ml,10191,GATORADE TROPICAL FRUIT 500ML,DRINKS,,N,,,,,,,36.58,,,,Y,Y,46,4,,
generic-dw-liq---cal,10091,GENERIC DW LIQ - GRE S,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,20,103,,
generic-dw-liq---pnk-m,10133,GENERIC DW LIQ - PNK M,,,N,,,,,,,0,,,,Y,Y,30,38,,
generic-dw-liq---pnk-m-1,10134,GENERIC DW LIQ - PNK M,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,25,38,,
generic-dw-liq---pnk-s,10132,GENERIC DW LIQ - PNK S,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,20,55,,
generic-dw-liq---ylw-m,10131,GENERIC DW LIQ - YLW M,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,30,38,,
generic-dw-liq---lem,10027,GENERIC DW LIQ - YLW S,Cleaning/Laundry Supplies,<p>LEMON / YELLOW</p>,N,,,,,,,0,,,,Y,Y,20,251,,
gillette-rubie-blade,10316,GILLETTE RUBIE BLADE,HOME ESSENTIALS,,N,,,,,,,0,4800037111047,,,N,Y,15,,,
great-taste-choco,10221,GREAT TASTE CHOCO,FOOD,,N,,,,,,,12.5,4800016022258,,,Y,Y,15,37,,
great-taste-premium-roast,10204,GREAT TASTE PREMIUM ROAST,FOOD,,N,,,,,,,12.35,4800016024917,,,Y,Y,15,27,,
great-taste-stick,10194,GREAT TASTE STICK,DRINKS,,N,,,,,,,2.71,4800016012358,,,Y,Y,5,106,,
great-taste-white-s.,10205,GREAT TASTE WHITE S.,FOOD,,N,,,,,,,8.2,4800016021039,,,Y,Y,10,30,,
happy-bbq,10182,HAPPY BBQ,SNACKS,,N,,,,,,,0,4800092330629,,,Y,Y,2,40,,
happy-classic,10179,HAPPY CLASSIC,SNACKS,,N,,,,,,,0,4800092331657,,,Y,Y,2,30,,
happy-hotnspcy,10181,HAPPY HOTNSPCY,SNACKS,,N,,,,,,,0,4800092330698,,,Y,Y,2,25,,
happy-med-colored-diapers,10082,HAPPY MED COLORED DIAPERS,BABY ESSENTIALS,,N,,,,,,,0,4802288852120,,,N,Y,230,,,
happy-xl-colored,10081,HAPPY XL COLORED,BABY ESSENTIALS,,N,,,,,,,0,4802288864123,,,N,Y,280,,,
head&-shoulders(cool-menthol),980000033,HEAD& SHOULDERS(COOL MENTHOL),BATH ESSENTIALS,,N,,,,,,,7.17,4902430333597,,,Y,Y,8.98,59,5,
h&s-ss,980000034,HEAD& SHOULDERS(SMOOTH & SILKY),BATH ESSENTIALS,<p>SMOOTH AND SILKY / PINK</p>,N,,,,,,,7.17,4902430698658,,,Y,Y,8.98,57,,
helix-hx3-20w-50-1l,1,HELIX HX3 20W-50 1L,SHELL,,N,,,,,,,0,5011987095687,,,N,Y,345,,,
helix-hx3-20w-50-1l-1,103511,HELIX HX3 20W-50 1L,SHELL,,N,,,,,,,0,5011987095687,,,N,Y,345,,,
hiho-garlic,10184,HIHO GARLIC,SNACKS,,N,,,,,,,0,4800092331619,,,Y,Y,2,44,,
hobe-chkn-stnghn,10200,HOBE CHKN STNGHN,FOOD,,N,,,,,,,27.49,4800528453601,,,Y,Y,32.5,12,,
hobe-instant-sotanghon,10199,HOBE INSTANT SOTANGHON,FOOD,,N,,,,,,,27.49,4800528453618,,,Y,Y,32.5,12,,
holiday-beef-loaf,10260,HOLIDAY BEEF LOAF,FOOD,,N,,,,,,,21,4800066121154,,,Y,Y,25,10,,
holiday-luncheon-meat,10071,HOLIDAY LUNCHEON MEAT,FOOD,,N,,,,,,,0,4800066129150,,,Y,Y,38,7,,
holiday-p&b-170g,10036,HOLIDAY P&B 170G,FOOD,,N,,,,,,,0,4800066120171,,,Y,Y,23,30,,
holiday-spicy-corned-beef,10069,HOLIDAY SPICY CORNED BEEF,FOOD,,N,,,,,,,0,4800066122304,,,Y,Y,38,2,,
holiday-vienna-sausage,10070,HOLIDAY VIENNA SAUSAGE,FOOD,,N,,,,,,,0,4800066124902,,,Y,Y,45,28,,
ice-cube-1kl,10298,ICE CUBE 1KG,ICE,,Y,,,,,,,13,,,,Y,Y,25,3,,
ice-cube-2kg,10299,ICE CUBE 2KG,ICE,,Y,,,,,,,24,,,,Y,Y,35,1,,
ice-cube-3kg,10300,ICE CUBE 3KG,ICE,,N,,,,,,,33,,,,Y,Y,45,1,,
joy--kalamansi-dishwashing-liquid,980000014,JOY  KALAMANSI DISHWASHING LIQUID 18.5ML,Cleaning/Laundry Supplies,,N,,,,,,,6.25,4902430434393,,,Y,Y,8.98,24,12,
joy-dishwashing-liquid-antibac-17ml,980000017,JOY DISHWASHING LIQUID ANTIBAC 17ML,Cleaning/Laundry Supplies,,N,,,,,,,6.25,4902430389549,,,Y,Y,8.98,12,,
joy-kalamansi-dishwashing-liquid-140ml,98000006,JOY KALAMANSI DISHWASHING LIQUID 140ML,Cleaning/Laundry Supplies,,N,,,,,,,42.52,4987176338167,,,Y,Y,44.98,6,,
joy-lemon-dishwashing-liquid-40ml,980000015,JOY KALAMANSI DISHWASHING LIQUID 40ML,Cleaning/Laundry Supplies,,N,,,,,,,12.63,4902430389532,,,Y,Y,16.98,12,,
joy-lemon-dishwashing-liquid-18.5ml,980000013,JOY LEMON DISHWASHING LIQUID 18.5ML,Cleaning/Laundry Supplies,,N,,,,,,,6.25,4902430389570,,,Y,Y,8.98,24,12,
joy-lemon-dishwashing-liquid-40ml-1,980000016,JOY LEMON DISHWASHING LIQUID 40ML,Cleaning/Laundry Supplies,,N,,,,,,,12.63,4902430389563,,,Y,Y,16.98,12,,
keratin-plus-(gold)-20g,10242,KERATIN PLUS (GOLD) 20g,HOME ESSENTIALS,,N,,,,,,,6,4806515161511,,,Y,Y,9.98,24,5,
kopiko-blk,10174,KOPIKO BLACK 2PK,FOOD,,N,,,,,,,13.4,8998666001702,,,Y,Y,16.98,10,,
kopiko-blanca,10175,KOPIKO BLANCA 2PK,FOOD,,N,,,,,,,13.4,8998666001726,,,Y,Y,16.98,10,,
kopiko-brown,10176,KOPIKO BROWN 2PK,FOOD,,N,,,,,,,13.4,8998666001719,,,Y,Y,16.98,10,,
